sample,group,tmin,tmax
HC621a2,HC,33.805646,33.938388
HC583a1,HC,8.165474,8.25605
HC838i2,HC,5.315994,5.479209
,,10.970649,11.167698
,,12.809736,13.139751
,,14.64301,14.853016
,,16.872161,17.156844
HC583a2,HC,10.1971,10.340243
HC838i1,HC,15.672568,15.801522
HC568i2,HC,6.569824,6.761036
,,12.875334,13.16505
,,16.306745,16.428426
,,22.822288,23.114901
,,23.873955,24.450488
,,24.964643,25.471645
HC568i1,HC,5.355799,5.711841
,,7.930913,8.062185
,,9.696588,9.860703
,,16.403798,16.649199
,,22.82772,23.033326
,,23.392452,23.783767
,,24.161816,25.113573
HC853a1,HC,11.195019,11.295098
HC592i1,HC,2.13106,2.498115
,,4.527563,4.714051
,,6.073851,6.254419
,,11.170727,11.413457
,,17.366615,17.609345
,,19.558358,19.85733
,,22.621675,22.885126
,,23.778548,24.213685
,,24.474176,24.935955
,,25.332612,25.616783
,,25.879039,26.222413
HC853a2,HC,10.899076,11.048449
HC592i2,HC,1.895587,2.139548
,,24.671271,24.772889
HC836a2,HC,0.376865,0.510926
,,2.619359,5.498379
,,5.588903,7.998221
,,8.362474,10.370445
,,10.956911,11.46303
HC845i2,HC,23.987062,24.698481
HC809a1,HC,17.315616,18.744323
HC834a1,HC,16.502535,16.67828
,,17.262638,17.364381
HC513i1,HC,8.636208,8.829761
HC861i1,HC,10.151161,10.426646
HC838a2,HC,7.630843,7.768354
,,20.598256,20.735478
,,22.053372,22.175569
,,22.669808,22.765154
HC583i2,HC,15.978078,16.129285
HC808i2,HC,19.786948,20.306437
,,22.177929,22.686295
,,23.865803,24.959756
HC568a2,HC,9.129442,9.462312
,,9.693873,10.698522
,,12.948241,13.558571
,,14.042696,15.708318
HC808i1,HC,26.514154,26.696041
HC568a1,HC,13.537538,13.790991
HC853i1,HC,7.844387,7.995109
,,9.431157,10.072941
,,11.142153,11.341523
,,11.918875,12.495121
HC592a1,HC,8.293552,8.383198
HC804a2,HC,10.479681,10.584828
HC853i2,HC,3.945096,4.141764
,,5.290634,5.415308
,,11.000518,11.137484
,,12.304481,12.634603
,,13.874276,14.044605
,,17.345834,17.533723
,,17.869113,18.1448
,,18.656341,19.156792
,,19.739848,19.996219
,,20.357051,20.522112
,,20.888515,21.27834
HC592a2,HC,23.543852,23.982652
,,24.114473,24.603835
HC836i2,HC,1.794503,2.293676
,,3.666401,4.009583
,,4.527146,6.346534
,,8.003595,9.083273
,,9.906415,10.30147
HC513a1,HC,8.677883,8.923884
HC836i1,HC,1.170798,2.339909
,,10.11536,10.403686
,,13.697915,15.211284
RBD134a2,RBD,13.562994,13.713764
,,13.96041,14.534427
RBD134a1,RBD,8.378675,8.477776
,,10.400687,10.499654
,,12.360363,12.708979
RBD223i1,RBD,24.871016,24.948333
RBD114a1,RBD,5.121825,5.339247
,,17.45263,17.631748
RBD188a1,RBD,6.252629,6.36749
,,8.628212,9.022461
RBD114a2,RBD,6.008964,6.177952
,,8.416883,8.548284
,,12.18247,12.276332
,,13.979773,14.147817
,,16.77565,17.020372
,,17.802206,17.933668
,,19.608827,19.778249
,,20.523644,20.711104
RBD188a2,RBD,12.272033,12.423148
RBD219i2,RBD,4.922095,5.022734
,,10.480578,10.684474
RBD219i1,RBD,12.522652,12.621436
RBD135a2,RBD,22.815425,23.27337
,,23.742908,24.517743
RBD111a2,RBD,13.64499,13.8391
RBD204i1,RBD,8.290672,8.487698
RBD121i1,RBD,32.699134,32.943322
RBD204i2,RBD,6.863041,7.028505
,,7.762925,8.092112
RBD121i2,RBD,30.37075,30.484464
RBD134i2,RBD,10.143426,11.017149
RBD157i1,RBD,18.439986,18.606079
RBD134i1,RBD,9.467733,9.644012
,,12.280933,12.681844
RBD114i1,RBD,9.747385,9.897774
,,10.154208,10.435281
,,19.783618,19.897373
,,24.129716,24.242417
RBD223a1,RBD,9.096008,9.273027
,,10.579023,10.653515
,,12.323301,12.510247
,,13.737533,13.862288
,,14.298029,14.480902
RBD114i2,RBD,19.793569,20.000689
RBD223a2,RBD,16.511146,16.711727
RBD219a1,RBD,7.330494,7.471091
RBD204a1,RBD,2.953929,3.041216
RBD121a2,RBD,37.176358,37.341928
RBD204a2,RBD,13.709456,13.823163
,,16.065298,16.164784
PN609i1,PN,21.353511,21.540821
,,23.483575,23.557916
,,24.037057,24.225488
PN647a1,PN,9.499415,10.301373
PN624a2,PN,7.286841,7.437157
PN634i1,PN,10.195349,10.335278
PN655i1,PN,9.849048,10.007455
,,10.17738,11.184508
,,20.130448,20.966735
,,23.647761,27.32988
PN645a2,PN,14.835637,15.337012
,,15.418631,16.211502
PN609i2,PN,11.598278,11.673907
,,17.198035,17.291229
PN624a1,PN,6.257287,6.403367
PN647a2,PN,5.160172,5.622821
,,8.682901,8.816593
,,10.321948,15.356738
PN655i2,PN,7.314996,7.376664
,,8.057235,8.2763
,,10.838448,10.920598
,,11.326782,11.671354
,,16.604116,17.058221
,,19.757171,20.129126
,,21.640486,22.003314
,,23.011877,24.353654
,,24.932722,25.238501
,,27.948121,28.297257
,,28.8111,29.098017
PN645a1,PN,14.135369,15.587572
PN576i1,PN,8.717692,8.871762
,,10.90001,11.258471
,,11.774,12.408543
,,13.019711,13.543605
,,14.335301,15.141708
PN515i2,PN,15.913441,16.133614
PN552i1,PN,13.139517,13.246568
PN648i1,PN,15.22099,15.488716
,,16.322613,16.4899
,,16.59389,16.825981
,,17.054846,18.172244
,,18.237752,19.737077
PN618a1,PN,14.264757,14.431998
,,17.310309,17.871807
,,23.79151,23.959824
,,24.652856,24.802294
,,25.415426,25.491194
,,26.778005,26.872124
,,27.489436,27.583294
,,29.913916,30.272689
,,31.081274,31.435388
,,32.934799,33.122029
PN601a1,PN,6.033378,6.328476
,,9.763542,9.845921
,,16.245823,16.300462
PN646a1,PN,14.394046,14.572072
PN561a2,PN,9.355136,9.408335
PN526a1,PN,12.461251,12.723591
,,13.252132,14.238769
